beds,category,city,direction,district,news_begin_date,news_end_date,news_id,news_type_level,price,root,square,street,ward,label_price
,Nhà đất cho thuê,Hà Nội,,Hà Đông,9/4/2018,9/11/2018,17160658,Tin thường,250,nha_dat_thue,500m²,Trần Phú,,nghìn/m2/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 6,9/4/2018,9/11/2018,17450698,Tin Vip 3,1.5,nha_dat_thue,16m²,Lý Chiêu Hoàng,10,triệu/tháng
,Nhà đất bán,Hà Nội,,Hoàng Mai,9/10/2018,9/17/2018,17533210,Tin thường,16.5,nha_dat_ban,99m²,,Đại Kim,tỷ
,Nhà đất bán,Hà Nội,,Nam Từ Liêm,9/6/2018,9/13/2018,16224390,Tin thường,3,nha_dat_ban,6000m²,70,Xuân Phương,triệu/m²
,Nhà đất bán,Hà Nội,,Sóc Sơn,9/10/2018,9/17/2018,17534808,Tin thường,550,nha_dat_ban,27000m²,,Minh Trí,nghìn/m²
2+,Nhà đất cho thuê,Hà Nội,,Hoàng Mai,9/4/2018,9/11/2018,17389682,Tin thường,5.5,nha_dat_thue,60m²,Tam Trinh,Yên Sở,triệu/tháng
,Nhà đất bán,Phú Thọ,,Việt Trì,8/21/2018,9/20/2018,17315856,Tin Vip 3,5.5,nha_dat_ban,105m²,Châu Phong,Tân Dân,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,9/8/2018,9/15/2018,16537472,Tin thường,67,nha_dat_thue,150m²,Nguyễn Hữu Cảnh,22,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,8/25/2018,9/16/2018,17363787,Tin thường,30,nha_dat_thue,200m²,Tây Mỗ,,triệu/tháng
2+,Nhà đất cho thuê,Hà Nội,,Ba Đình,9/4/2018,9/11/2018,17465972,Tin thường,14,nha_dat_thue,84m²,Giảng Võ,Giảng Võ,triệu/tháng
,Nhà đất bán,Long An,,Cần Đước,9/6/2018,9/13/2018,17492371,Tin thường,379,nha_dat_ban,90m²,Nguyễn Trung Trực,Long Cang,triệu
3+,Nhà đất bán,Hồ Chí Minh,,Bình Thạnh,9/7/2018,9/14/2018,17509226,Tin thường,1.9,nha_dat_ban,75m²,Bình Quới,28,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,9/6/2018,9/13/2018,17501120,Tin thường,4,nha_dat_thue,22m²,Bùi Đình Túy,26,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 1,9/7/2018,9/14/2018,15935340,Tin thường,36,nha_dat_ban,40.7m²,Đông Du,Bến Nghé,tỷ
,Nhà đất bán,Hồ Chí Minh,,Hóc Môn,9/6/2018,9/13/2018,17496816,Tin thường,950,nha_dat_ban,100m²,Trưng Nữ Vương,,triệu
5+,Nhà đất bán,Lâm Đồng,,Đà Lạt,9/5/2018,9/12/2018,17209064,Tin thường,7.8,nha_dat_ban,300m²,Trần Quang Khải,8,tỷ
,Nhà đất bán,Bà Rịa Vũng Tàu,,Phú Mỹ,9/8/2018,9/15/2018,17518916,Tin thường,180,nha_dat_ban,100m²,81,Hắc Dịch,triệu
5+,Nhà đất bán,Hồ Chí Minh,,Bình Thạnh,9/7/2018,9/14/2018,17513027,Tin thường,10.5,nha_dat_ban,102m²,Phan Văn Trị,11,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,17504420,Tin thường,4.5,nha_dat_thue,63m²,Nguyễn Văn Linh,An Phú Tây,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/9/2018,9/26/2018,17208640,Tin thường,10.5,nha_dat_ban,Không xác định,Bưng Ông Thoàn,Phú Hữu,tỷ
,Nhà đất bán,Đà Nẵng,Tây,Ngũ Hành Sơn,9/9/2018,9/16/2018,17448978,Tin thường,20,nha_dat_ban,162m²,Đỗ Bí,,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 9,9/5/2018,9/12/2018,14289070,Tin thường,11,nha_dat_thue,78m²,Liên Phường,Phú Hữu,triệu/tháng
,Nhà đất bán,Hà Nội,,Hà Đông,9/10/2018,9/17/2018,14093456,Tin Vip 2,9.5,nha_dat_ban,120m²,Lê Trọng Tấn,La Khê,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,17509762,Tin thường,820,nha_dat_ban,120m²,Quốc Lộ 50,Đa Phước,triệu
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 2,9/8/2018,9/15/2018,11551465,Tin thường,95,nha_dat_thue,122.5m²,Mai Chí Thọ,An Lợi Đông,triệu/tháng
,Nhà đất bán,Hà Nội,,Đống Đa,9/10/2018,9/17/2018,17450227,Tin thường,4.55,nha_dat_ban,36m²,Yên Lãng,Thịnh Quang,tỷ
,Nhà đất bán,Bình Định,,Quy Nhơn,9/8/2018,9/15/2018,16797939,Tin thường,5,nha_dat_ban,175m²,,Nhơn Lý,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 2,9/10/2018,9/17/2018,17534462,Tin thường,,nha_dat_ban,Không xác định,,,
,Nhà đất cho thuê,Hà Nội,,Đống Đa,9/6/2018,9/13/2018,17499276,Tin thường,60,nha_dat_thue,90m²,Nguyễn Lương Bằng,Ô Chợ Dừa,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/5/2018,9/12/2018,12466696,Tin thường,8,nha_dat_thue,68m²,Nguyễn Văn Linh,Tân Phong,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Bình Thạnh,9/10/2018,9/18/2018,17060412,Tin thường,368,nha_dat_thue,170m²,Điện Biên Phủ,25,nghìn/m2/tháng
1+,Nhà đất cho thuê,Bình Dương,,Thủ Dầu Một,9/9/2018,9/16/2018,17529050,Tin thường,6,nha_dat_thue,36m²,Phạm Ngọc Thạch,Hiệp Thành,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/6/2018,9/13/2018,15994394,Tin thường,3.5,nha_dat_thue,30m²,Trần Xuân Soạn,Tân Hưng,triệu/tháng
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/5/2018,9/12/2018,17208068,Tin thường,279.12,nha_dat_thue,110m²,Lê Đức Thọ,Dịch Vọng,nghìn/m2/tháng
4+,Nhà đất cho thuê,Bình Dương,,Bến Cát,9/5/2018,9/12/2018,17132272,Tin thường,16,nha_dat_thue,228.6m²,NE2,Thới Hòa,triệu/tháng
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/7/2018,9/14/2018,17109530,Tin thường,1.13,nha_dat_ban,100m²,DX 028,Phú Mỹ,tỷ
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/5/2018,9/12/2018,17470636,Tin thường,12,nha_dat_thue,70m²,Tôn Thất Thuyết,,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 8,9/8/2018,9/15/2018,17521482,Tin thường,4.4,nha_dat_ban,48m²,13,4,tỷ
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 12,9/6/2018,9/13/2018,17203188,Tin thường,9,nha_dat_thue,100m²,Nguyễn Văn Quá,Đông Hưng Thuận,triệu/tháng
3+,Nhà đất cho thuê,Hà Nội,,Thanh Xuân,9/7/2018,9/15/2018,16338138,Tin thường,16.5,nha_dat_thue,80.7m²,Lê Văn Lương,Nhân Chính,triệu/tháng
3+,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Tân Bình,9/7/2018,9/14/2018,17151620,Tin thường,43,nha_dat_ban,328m²,Cộng Hòa,12,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/7/2018,9/14/2018,16054727,Tin thường,580,nha_dat_ban,150m²,Đại Lộ Bình Dương,Hòa Phú,triệu
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/9/2018,9/16/2018,15254436,Tin thường,47,nha_dat_ban,3400m²,C12,Tân Kiên,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 7,9/6/2018,9/13/2018,17409437,Tin thường,5.83,nha_dat_ban,80m²,Số 2B,Phú Mỹ,tỷ
3+,Nhà đất bán,Hà Nội,Đông-Bắc,Thanh Xuân,9/5/2018,9/15/2018,17464318,Tin Vip đặc biệt,5.5,nha_dat_ban,120.5m²,Nguyễn Huy Tưởng,Thanh Xuân Trung,tỷ
4+,Nhà đất cho thuê,Hà Nội,Tây-Nam,Long Biên,9/6/2018,9/13/2018,16916282,Tin thường,,nha_dat_thue,190m²,,Đức Giang,
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/6/2018,10/6/2018,17501137,Tin thường,13.5,nha_dat_ban,72m²,Bàu Cát 7,14,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Tân Bình,9/7/2018,9/15/2018,16950620,Tin thường,10,nha_dat_thue,75m²,Cộng Hòa,,triệu/tháng
,Nhà đất bán,Hà Nội,,Thanh Xuân,9/6/2018,9/13/2018,16423860,Tin thường,220,nha_dat_ban,100m²,Vũ Tông Phan,Khương Đình,triệu/m²
,Nhà đất bán,Hà Nội,Đông-Bắc,Gia Lâm,9/7/2018,9/14/2018,17515284,Tin thường,14,nha_dat_ban,70m²,Khoan Tế,Đa Tốn,triệu/m²
,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/4/2018,9/11/2018,17465994,Tin thường,9,nha_dat_thue,32m²,,Dịch Vọng,triệu/tháng
,Nhà đất bán,Bà Rịa Vũng Tàu,,Bà Rịa,9/7/2018,9/14/2018,17513298,Tin thường,6.9,nha_dat_ban,100m²,Quốc Lộ 55,,triệu/m²
4+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 9,9/5/2018,9/12/2018,14382212,Tin Vip 1,9.9,nha_dat_ban,171m²,Bưng Ông Thoàn,Phú Hữu,tỷ
,Nhà đất bán,Bà Rịa Vũng Tàu,,Bà Rịa,9/7/2018,9/14/2018,17510039,Tin thường,2.8,nha_dat_ban,100m²,Nguyễn Văn Cừ,Long Toàn,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/7/2018,9/14/2018,17505225,Tin thường,12,nha_dat_ban,56m²,Lã Xuân Oai,Tăng Nhơn Phú A,triệu/m²
,Nhà đất cho thuê,Hà Nội,,Hoài Đức,9/7/2018,9/14/2018,17517093,Tin Vip 3,45,nha_dat_thue,1300m²,72,An Khánh,nghìn/m2/tháng
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/5/2018,9/12/2018,17472691,Tin thường,11,nha_dat_thue,73m²,D4,Tân Hưng,triệu/tháng
,Nhà đất bán,Bình Dương,,Tân Uyên,9/7/2018,9/14/2018,16770093,Tin thường,1.1,nha_dat_ban,150m²,N7A,Vĩnh Tân,tỷ
,Nhà đất bán,Hà Nội,Đông,Ba Đình,9/7/2018,9/14/2018,17222710,Tin thường,11,nha_dat_ban,100m²,Kim Mã,Kim Mã,tỷ
,Nhà đất bán,Hà Nội,Bắc,Long Biên,9/8/2018,9/15/2018,17228300,Tin thường,2.75,nha_dat_ban,43.9m²,Thượng Thanh,Thượng Thanh,tỷ
1+,Nhà đất cho thuê,Hồ Chí Minh,Đông-Nam,Quận 2,9/8/2018,9/15/2018,17445989,Tin thường,11,nha_dat_thue,50m²,Mai Chí Thọ,Bình Khánh,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 9,9/6/2018,9/13/2018,16734997,Tin thường,2.1,nha_dat_ban,64m²,Long Thuận,Trường Thạnh,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,17320449,Tin thường,1.5,nha_dat_ban,80m²,Quốc Lộ 50,Bình Hưng,tỷ
,Nhà đất bán,Đà Nẵng,Tây-Nam,Ngũ Hành Sơn,9/9/2018,9/16/2018,17529490,Tin thường,4.8,nha_dat_ban,100m²,Đa Mặn 5, Khuê Mỹ,tỷ
3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/5/2018,9/12/2018,12897173,Tin thường,12,nha_dat_thue,113m²,D4,Tân Hưng,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Phú Nhuận,8/8/2018,11/8/2018,17135550,Tin thường,4,nha_dat_thue,20m²,Hồ Biểu Chánh,11,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/8/2018,9/15/2018,17521616,Tin thường,14.5,nha_dat_thue,76m²,D1,Tân Hưng,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 10,9/8/2018,9/15/2018,17407925,Tin thường,7.5,nha_dat_ban,49m²,Thành Thái,14,tỷ
,Nhà đất bán,Long An,,Đức Hòa,9/7/2018,9/14/2018,16835258,Tin thường,6,nha_dat_ban,100m²,823,Đức Lập Thượng,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,16887305,Tin thường,730,nha_dat_ban,100m²,Phạm Hùng,Bình Hưng,triệu
2+,Nhà đất bán,Hồ Chí Minh,,Quận 4,9/2/2018,9/12/2018,16643916,Tin Vip đặc biệt,3.6,nha_dat_ban,70m²,Bến Vân Đồn,1,tỷ
,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 12,9/8/2018,9/22/2018,13046016,Tin thường,9,nha_dat_ban,100m²,Nguyễn Ảnh Thủ,Tân Chánh Hiệp,tỷ
4+,Nhà đất bán,Đồng Nai,,Nhơn Trạch,9/10/2018,9/23/2018,17296745,Tin thường,8.5,nha_dat_ban,320m²,,Đại Phước,tỷ
,Nhà đất bán,Hà Nội,,Quốc Oai,9/6/2018,9/13/2018,16804686,Tin thường,12,nha_dat_ban,240m²,21A,Phú Cát,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/6/2018,9/15/2018,17482288,Tin Vip 2,227,nha_dat_ban,120m²,,,triệu
,Nhà đất cho thuê,Hồ Chí Minh,,Tân Phú,9/8/2018,9/15/2018,17527381,Tin thường,3,nha_dat_thue,25m²,Gò Dầu,Tân Quý,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,Nam,Quận 6,9/7/2018,9/14/2018,17512424,Tin thường,9,nha_dat_ban,68m²,Lý Chiêu Hoàng,10,tỷ
,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/6/2018,9/13/2018,7564972,Tin Vip 1,1.65,nha_dat_ban,100m²,Lê Lợi,Phú Mỹ,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 6,9/6/2018,9/13/2018,17488089,Tin thường,9,nha_dat_thue,65m²,Tân Hòa Đông,14,triệu/tháng
3+,Nhà đất cho thuê,Hà Nội,,Hoàng Mai,9/6/2018,9/13/2018,17487143,Tin thường,7,nha_dat_thue,72m²,Tam Trinh,Yên Sở,triệu/tháng
3+,Nhà đất bán,Đồng Nai,Tây-Nam,Biên Hòa,8/28/2018,9/27/2018,17399934,Tin Vip 3,1.8,nha_dat_ban,72m²,,An Hòa,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 3,9/8/2018,9/15/2018,17525074,Tin thường,45,nha_dat_ban,96.9m²,Võ Văn Tần,6,tỷ
,Nhà đất bán,Hồ Chí Minh,Tây,Phú Nhuận,9/7/2018,9/14/2018,17513291,Tin thường,18.5,nha_dat_ban,79.9m²,Trần Huy Liệu,12,tỷ
3+,Nhà đất bán,Hồ Chí Minh,Tây,Bình Tân,9/8/2018,9/15/2018,17522435,Tin thường,5.66,nha_dat_ban,Không xác định,Bùi Tư Toàn,An Lạc,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/9/2018,9/16/2018,16155885,Tin thường,750,nha_dat_ban,120m²,Hoàng Hữu Nam,,triệu
3+,Nhà đất bán,Bình Dương,,Thủ Dầu Một,9/6/2018,9/13/2018,17011851,Tin thường,2.8,nha_dat_ban,125m²,DX 047,Phú Mỹ,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,16432188,Tin thường,300,nha_dat_ban,80m²,Hương Lộ 11,Bình Hưng,triệu
1+,Nhà đất cho thuê,Hồ Chí Minh,Đông-Nam,Bình Thạnh,9/6/2018,9/13/2018,17264739,Tin thường,8,nha_dat_thue,53m²,Nguyễn Xí,26,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Quận 7,9/6/2018,9/13/2018,16003707,Tin thường,36.6,nha_dat_ban,273.6m²,Tân Phú,Tân Phú,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/7/2018,9/14/2018,15077440,Tin thường,980,nha_dat_ban,90m²,Đỗ Xuân Hợp,,triệu
2+,Nhà đất cho thuê,Hà Nội,,Hai Bà Trưng,9/7/2018,9/22/2018,17516852,Tin thường,12.5,nha_dat_thue,76m²,Minh Khai,Vĩnh Tuy,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,15755483,Tin thường,2.3,nha_dat_ban,125m²,Vĩnh Lộc B,Vĩnh Lộc A,tỷ
2+,Nhà đất bán,Hồ Chí Minh,Nam,Quận 7,9/7/2018,9/14/2018,16113040,Tin thường,3.8,nha_dat_ban,64m²,Huỳnh Tấn Phát,Phú Thuận,tỷ
,Nhà đất bán,Khánh Hòa,Tây,Nha Trang,9/6/2018,9/13/2018,16857043,Tin thường,48.5,nha_dat_ban,91.05m²,A2,,triệu/m²
,Nhà đất bán,Hà Nội,,Long Biên,9/5/2018,9/12/2018,17204211,Tin thường,18.5,nha_dat_ban,298.1m²,Hoa Phượng 3,Việt Hưng,tỷ
,Nhà đất bán,Đà Nẵng,Bắc,Thanh Khê,9/8/2018,9/15/2018,17518330,Tin thường,6,nha_dat_ban,223m²,Mẹ Nhu,,tỷ
,Nhà đất bán,Đà Nẵng,Đông-Bắc,Sơn Trà,9/10/2018,9/17/2018,15975271,Tin thường,10.5,nha_dat_ban,107.5m²,Mỹ Khê 2,Phước Mỹ,tỷ
3+,Nhà đất cho thuê,Hồ Chí Minh,,Thủ Đức,9/7/2018,9/14/2018,17506323,Tin thường,15,nha_dat_thue,150m²,Số 2,Hiệp Bình Phước,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,Nam,Bình Chánh,9/9/2018,9/16/2018,13371138,Tin thường,7.3,nha_dat_ban,171m²,Nguyễn Văn Linh,Bình Hưng,tỷ
,Nhà đất bán,Hà Nội,,Ba Vì,9/8/2018,9/15/2018,17217154,Tin thường,16,nha_dat_ban,40000m²,Tản Lĩnh,Vân Hòa,tỷ
,Nhà đất bán,Hà Nội,,Thanh Xuân,9/6/2018,9/13/2018,17499271,Tin thường,8.6,nha_dat_ban,80m²,Trường Chinh,Phương Liệt,tỷ
4+,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 12,9/8/2018,9/15/2018,16858591,Tin thường,3.8,nha_dat_ban,Không xác định,Tô Ngọc Vân,Thạnh Xuân,tỷ
3+,Nhà đất bán,Lào Cai,Tây-Nam,Sa Pa,9/4/2018,9/11/2018,16674656,Tin thường,14.439,nha_dat_ban,400m²,Cầu Mây,Sa Pa,tỷ
,Nhà đất bán,Hà Nội,,Ba Đình,9/4/2018,9/11/2018,14286955,Tin thường,165,nha_dat_ban,208.2m²,Nam Cao,Giảng Võ,triệu/m²
,Nhà đất bán,Hà Nam,,Phủ Lý,9/6/2018,9/13/2018,17328155,Tin thường,4.3,nha_dat_ban,100m²,Quốc lộ 21B,Lê Hồng Phong,triệu/m²
3+,Nhà đất cho thuê,Hà Nội,Tây-Nam,Cầu Giấy,9/10/2018,9/17/2018,17310941,Tin thường,12,nha_dat_thue,110m²,,Dịch Vọng,triệu/tháng
5+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 10,9/7/2018,9/14/2018,16748588,Tin thường,25,nha_dat_thue,100m²,Cao Thắng,,triệu/tháng
1+,Nhà đất cho thuê,Đồng Nai,,Biên Hòa,9/9/2018,9/16/2018,17524639,Tin thường,3,nha_dat_thue,100m²,Trần Văn Xã,Trảng Dài,triệu/tháng
2+,Nhà đất cho thuê,Hà Nội,Tây,Cầu Giấy,9/8/2018,9/16/2018,17436634,Tin thường,12,nha_dat_thue,97m²,Dương Đình Nghệ,Yên Hòa,triệu/tháng
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Nhà Bè,9/5/2018,9/12/2018,16951452,Tin thường,5.9,nha_dat_ban,93.5m²,Nguyễn Hữu Thọ,Phước Kiển,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Thạnh,9/5/2018,9/12/2018,17467180,Tin Vip 3,8,nha_dat_ban,75m²,Nguyễn Xí,26,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 10,9/7/2018,9/14/2018,14636188,Tin thường,17,nha_dat_ban,168m²,Hòa Hưng,12,tỷ
,Nhà đất bán,Hà Nội,Tây-Nam,Cầu Giấy,9/5/2018,9/12/2018,15407405,Tin thường,32.5,nha_dat_ban,160m²,Trung Yên 11,Yên Hòa,tỷ
3+,Nhà đất cho thuê,Hà Nội,,Nam Từ Liêm,9/5/2018,9/13/2018,14893518,Tin thường,,nha_dat_thue,110m²,Hàm Nghi,Cầu Diễn,
,Nhà đất bán,Bình Dương,,Bến Cát,9/7/2018,9/14/2018,16649262,Tin thường,980,nha_dat_ban,100m²,Đại Lộ Bình Dương,Tân Định,triệu
4+,Nhà đất bán,Hà Nội,Tây-Bắc,Cầu Giấy,9/7/2018,9/14/2018,17514407,Tin thường,75,nha_dat_ban,62m²,Doãn Kế Thiện,Mai Dịch,tỷ
,Nhà đất bán,Bình Dương,,Tân Uyên,9/7/2018,9/14/2018,11400175,Tin thường,760,nha_dat_ban,150m²,,Vĩnh Tân,triệu
,Nhà đất bán,Bà Rịa Vũng Tàu,,Xuyên Mộc,7/4/2018,10/4/2018,16672564,Tin thường,8.5,nha_dat_ban,1000m²,44B,Phước Thuận,tỷ
,Nhà đất bán,Hải Dương,,Hải Dương,9/4/2018,9/11/2018,17445061,Tin thường,1.6,nha_dat_ban,90.7m²,Nguyễn Chế Nghĩa,Tân Bình,tỷ
,Nhà đất bán,Cần Thơ,Đông-Nam,Cái Răng,9/10/2018,9/17/2018,15711262,Tin thường,14.5,nha_dat_ban,90m²,Số 14,Hưng Thạnh,triệu/m²
,Nhà đất bán,Bắc Ninh,Nam,Tiên Du,9/8/2018,9/15/2018,17524599,Tin thường,860,nha_dat_ban,130m²,,Hoàn Sơn,triệu
3+,Nhà đất cho thuê,Hồ Chí Minh,,Quận 7,9/6/2018,9/13/2018,17497405,Tin thường,18,nha_dat_thue,104m²,D1,Tân Hưng,triệu/tháng
,Nhà đất cho thuê,Hồ Chí Minh,,Quận 8,9/6/2018,9/13/2018,15218401,Tin thường,5,nha_dat_thue,51m²,192,16,triệu/tháng
,Nhà đất bán,Đồng Nai,,Nhơn Trạch,9/2/2018,9/20/2018,17451326,Tin thường,3.5,nha_dat_ban,120m²,,Đại Phước,tỷ
2+,Nhà đất cho thuê,Hồ Chí Minh,,Nhà Bè,9/5/2018,9/12/2018,16990833,Tin thường,9.5,nha_dat_thue,79m²,Nguyễn Hữu Thọ,Phước Kiển,triệu/tháng
2+,Nhà đất cho thuê,Hà Nội,,Hoài Đức,9/9/2018,9/16/2018,15341965,Tin thường,,nha_dat_thue,65m²,Đại lộ Thăng Long,An Khánh,
,Nhà đất cho thuê,Hà Nội,,Ba Đình,8/22/2018,2/18/2019,17305499,Tin thường,38,nha_dat_thue,80m²,Láng Hạ,,triệu/tháng
,Nhà đất bán,Hà Nội,Tây-Bắc,Thanh Xuân,9/7/2018,9/14/2018,17250444,Tin thường,6,nha_dat_ban,72m²,Phùng Khoang,Thanh Xuân Bắc,tỷ
3+,Nhà đất bán,Hà Nội,,Hai Bà Trưng,9/8/2018,9/15/2018,17518883,Tin thường,3.25,nha_dat_ban,39m²,Hồng Mai,Bạch Mai,tỷ
2+,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/10/2018,9/17/2018,16632955,Tin thường,2.38,nha_dat_ban,28m²,Phan Huy Ích,12,tỷ
,Nhà đất bán,Hồ Chí Minh,,Củ Chi,9/8/2018,10/8/2018,17517948,Tin thường,2.5,nha_dat_ban,639m²,Cây Da,Củ Chi,tỷ
5+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Bình Thạnh,9/10/2018,9/17/2018,17535933,Tin thường,,nha_dat_ban,363m²,Nguyễn Hữu Cảnh,22,
4+,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/7/2018,9/14/2018,16637443,Tin thường,5.3,nha_dat_ban,132m²,990,Phú Hữu,tỷ
,Nhà đất bán,Hà Nội,,Bắc Từ Liêm,9/7/2018,9/14/2018,12917709,Tin thường,6.7,nha_dat_ban,124m²,Hoàng Tăng Bí,Đức Thắng,tỷ
,Nhà đất bán,Hồ Chí Minh,,Tân Bình,9/5/2018,9/15/2018,17480332,Tin thường,,nha_dat_ban,186m²,Phổ Quang,,
3+,Nhà đất bán,Hải Phòng,Bắc,Lê Chân,9/6/2018,9/13/2018,17499540,Tin thường,1.3,nha_dat_ban,38m²,Chợ Hàng Mới,,tỷ
,Nhà đất bán,Hồ Chí Minh,,Nhà Bè,9/7/2018,9/14/2018,17427210,Tin thường,20,nha_dat_ban,210m²,Huỳnh Tấn Phát,Phú Xuân,triệu/m²
,Nhà đất bán,Hồ Chí Minh,,Gò Vấp,9/9/2018,9/18/2018,16668537,Tin thường,3.65,nha_dat_ban,68m²,Số 20,5,tỷ
,Nhà đất bán,Hồ Chí Minh,,Bình Chánh,9/7/2018,9/14/2018,17417864,Tin thường,410,nha_dat_ban,64m²,Võ Văn Vân,Vĩnh Lộc B,triệu
,Nhà đất bán,Hà Nội,,Hà Đông,9/9/2018,9/16/2018,16635127,Tin thường,26.5,nha_dat_ban,Không xác định,,Kiến Hưng,triệu/m²
,Nhà đất bán,Bình Thuận  ,,Phan Thiết,9/7/2018,9/14/2018,17024599,Tin thường,4.95,nha_dat_ban,1500m²,,Mũi Né,tỷ
,Nhà đất bán,Hồ Chí Minh,,Quận 9,9/6/2018,9/13/2018,17498660,Tin thường,980,nha_dat_ban,100m²,Nguyễn Duy Trinh,Phú Hữu,triệu
2+,Nhà đất cho thuê,Hà Nội,,Cầu Giấy,9/6/2018,9/13/2018,17127485,Tin thường,12,nha_dat_thue,87m²,Cầu Giấy,Dịch Vọng,triệu/tháng
2+,Nhà đất bán,Hồ Chí Minh,Đông-Bắc,Quận 10,9/7/2018,9/14/2018,17515581,Tin thường,6.1,nha_dat_ban,18m²,Hồ Thị Kỷ,1,tỷ
4+,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Quận 4,9/6/2018,9/13/2018,16525228,Tin thường,10,nha_dat_ban,52m²,Xóm Chiếu,13,tỷ
,Nhà đất bán,Bà Rịa Vũng Tàu,Bắc,Châu Đức,9/7/2018,9/21/2018,17509966,Tin thường,320,nha_dat_ban,500m²,,Bàu Chinh,triệu
,Nhà đất bán,Hà Nội,,Hai Bà Trưng,9/7/2018,9/14/2018,17518085,Tin thường,3.3,nha_dat_ban,29m²,Thanh Nhàn,Thanh Nhàn,tỷ
,Nhà đất bán,Hồ Chí Minh,Đông-Nam,Củ Chi,9/9/2018,9/16/2018,17525651,Tin thường,8,nha_dat_ban,75m²,Quốc Lộ 22,,triệu/m²
4+,Nhà đất bán,Hà Nội,Đông-Nam,Hà Đông,9/5/2018,9/12/2018,17473694,Tin thường,5,nha_dat_ban,40m²,Ngô Thì Nhậm,Hà Cầu,tỷ
,Nhà đất bán,Đà Nẵng,Đông-Nam,Ngũ Hành Sơn,9/6/2018,9/13/2018,15259168,Tin thường,8.8,nha_dat_ban,125m²,Nguyễn Khắc Viện,,tỷ
